 TileSeekerClock, TileDispatchClock, TileDecomposeClock,Total Cycles, Tile Seeker Work Load, Tile Dispatch Work Load, Mean Tile Decomposer Unit Work Load, Inside Tile Decomposer Work Load, Min Tile Raster Work Load 
3,1,1,52997,6,1,79,68,61,
3,1,2,53046,6,1,79,68,61,
3,1,4,53664,6,1,78,68,60,
3,2,1,52951,6,1,79,69,61,
3,2,2,53178,6,1,79,68,61,
3,2,4,53801,6,1,78,67,60,
3,3,1,53172,6,1,79,68,61,
3,3,2,53492,6,1,78,68,60,
3,3,4,54067,6,1,78,67,60,
3,4,1,53485,6,1,78,68,60,
3,4,2,53774,6,1,78,68,60,
3,4,4,54294,6,1,77,67,59,
4,1,1,53058,6,1,79,68,61,
4,1,2,53101,6,1,79,68,61,
4,1,4,53736,6,1,78,68,60,
4,2,1,53054,6,1,79,68,61,
4,2,2,53294,6,1,79,68,60,
4,2,4,53858,6,1,78,67,60,
4,3,1,53289,6,1,79,68,60,
4,3,2,53570,6,1,78,68,60,
4,3,4,54196,6,1,77,67,59,
4,4,1,53617,6,1,78,68,60,
4,4,2,53854,6,1,78,67,60,
4,4,4,54408,6,1,77,67,59,
5,1,1,53147,6,1,79,68,61,
5,1,2,53212,6,1,79,68,61,
5,1,4,53847,6,1,78,67,60,
5,2,1,53136,6,1,79,68,61,
5,2,2,53364,6,1,79,68,60,
5,2,4,54010,6,1,78,67,60,
5,3,1,53365,6,1,79,68,60,
5,3,2,53688,6,1,78,68,60,
5,3,4,54290,6,1,77,67,59,
5,4,1,53709,6,1,78,68,60,
5,4,2,53949,6,1,78,67,60,
5,4,4,54497,6,1,77,67,59,
6,1,1,53297,6,1,79,68,60,
6,1,2,53341,6,1,79,68,60,
6,1,4,53999,6,1,78,67,60,
6,2,1,53259,6,1,79,68,61,
6,2,2,53442,6,1,79,68,60,
6,2,4,54073,6,1,78,67,60,
6,3,1,53488,6,1,78,68,60,
6,3,2,53781,6,1,78,68,60,
6,3,4,54374,6,1,77,67,59,
6,4,1,53808,6,1,78,68,60,
6,4,2,54034,6,1,78,67,60,
6,4,4,54578,6,1,77,66,59,
7,1,1,53412,6,1,79,68,60,
7,1,2,53444,6,1,79,68,60,
7,1,4,54050,6,1,78,67,60,
7,2,1,53327,6,1,79,68,60,
7,2,2,53603,6,1,78,68,60,
7,2,4,54185,6,1,77,67,59,
7,3,1,53582,6,1,78,68,60,
7,3,2,53902,6,1,78,67,60,
7,3,4,54461,6,1,77,67,59,
7,4,1,53871,6,1,78,68,60,
7,4,2,54141,6,1,78,67,60,
7,4,4,54654,6,1,77,66,59,
8,1,1,53460,6,1,79,68,60,
8,1,2,53494,6,1,78,68,60,
8,1,4,54143,6,1,78,67,60,
8,2,1,53443,6,1,79,68,60,
8,2,2,53695,6,1,78,68,60,
8,2,4,54292,6,1,77,67,59,
8,3,1,53682,6,1,78,68,60,
8,3,2,53997,6,1,78,67,60,
8,3,4,54570,6,1,77,67,59,
8,4,1,53975,6,1,78,67,60,
8,4,2,54195,6,1,77,67,59,
8,4,4,54770,6,1,77,66,59,
